SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1389.00,1399.90,1374.15,1391.05,1391.05,1378.05,321,95555,132897086.00,
500003,AEGIS LOGIS ,A ,Q,284.25,285.00,279.45,284.40,285.00,280.95,591,29835,8449490.00,
500008,AMAR RAJA BA,A ,Q,835.00,844.90,833.00,836.95,836.50,833.35,1383,18646,15648853.00,
500009,A.SARABHAI  ,ST,Q,9.56,10.40,9.51,9.97,9.83,9.97,80,40173,399295.00,
500010,HDFC        ,A ,Q,1711.00,1720.00,1702.00,1709.10,1709.10,1708.35,1179,68714,117296036.00,
500012,ANDHRA PETRO,ST,Q,54.00,57.35,53.95,57.30,57.35,54.65,377,237163,13224052.00,
500013,ANSAL INFRAS,B ,Q,25.45,27.85,25.05,27.85,27.85,25.35,903,271530,7393327.00,
500014,APPLE FINANC,X ,Q,3.60,3.69,3.50,3.50,3.50,3.60,36,13458,47778.00,
500020,BOM DYEING  ,A ,Q,291.95,301.40,287.35,293.45,293.45,291.75,7790,871821,256909232.00,
500023,ASIANHOTNR  ,B ,Q,177.25,188.50,177.25,187.50,187.50,177.25,506,18235,3353694.00,
500024,ASSAMCO     ,T ,Q,5.92,6.04,5.55,5.92,5.92,5.76,205,185742,1100588.00,
500027,ATUL LTD.   ,A ,Q,2747.60,2760.00,2706.35,2714.35,2714.35,2730.90,85,421,1150444.00,
500028,ATV PROJECTS,XT,Q,9.75,10.00,9.37,9.93,9.95,9.75,88,21753,209459.00,